764, -452, 16600, 1
-8176, 11728, 7536, 5
8748, 11508, 7732, 4
-8256, 11760, 7600, 5
-372, 14832, -7032, 10
8748, 11544, 7692, 4
-14040, 4828, -6756, 11
-14088, 4876, -6836, 11
8572, -11740, -8200, 8
64, -15068, 6832, 2
748, -332, 16536, 1
-14056, 4820, -7068, 11
708, -396, 16716, 1
-8276, 11748, 7588, 5
13892, 4336, -7888, 9
-332, 14792, -7068, 10
-8708, -11704, -7832, 7
-14152, 4820, -7000, 11
-13864, -5056, 7040, 6
-8256, 11788, 7712, 5
-14128, 4824, -7044, 11
8600, -11740, -8152, 8
-412, 14888, -7124, 10
-8744, -11712, -7836, 7
8592, -11780, -8224, 8
14256, -5120, 6752, 3
676, -416, 16616, 1
-13972, -5000, 7092, 6
13932, 4316, -7920, 9
720, -404, 16604, 1
-14080, 4852, -6944, 11
8712, 11552, 7704, 4
748, -332, 16536, 1
-340, 14788, -7032, 10
-14088, 4836, -6996, 11
-328, 14764, -7020, 10
708, -476, 16572, 1
720, -408, 16740, 1
-184, 380, -16800, 12
14300, -5124, 6824, 3
-368, 14784, -7008, 10
13896, 4012, -7912, 9
8548, -11756, -8164, 8
-8700, -11776, -7932, 7
-76, 384, -16876, 12
8504, -11724, -8160, 8
-8268, 11744, 7616, 5
68, -15128, 6952, 2
14324, -5104, 6828, 3
14252, -5128, 6728, 3
8556, -11768, -8108, 8
-8776, -11680, -7888, 7
-192, 244, -16880, 12
8552, -11760, -8144, 8
14308, -5144, 6760, 3
-13944, -4996, 7024, 6
14312, -5096, 6812, 3
-14060, 4832, -7000, 11
-8784, -11776, -7836, 7
692, -452, 16616, 1
-136, 376, -16884, 12
8780, 11520, 7768, 4
-412, 14764, -7008, 10
-392, 14772, -6988, 10
-14180, 4876, -7000, 11
-8756, -11720, -7932, 7
184, -15164, 6780, 2
-8064, 11844, 7620, 5
-8192, 11684, 7664, 5
14320, -5072, 6804, 3
-8684, -11728, -7856, 7
-420, 14836, -7016, 10
-120, 424, -16928, 12
712, -380, 16592, 1
-8228, 11784, 7636, 5
-13924, -4952, 6984, 6
-14060, 4840, -6988, 11
-444, 14908, -7000, 10
13936, 4300, -7996, 9
64, -15160, 6864, 2
8688, 11500, 7820, 4
736, -424, 16516, 1
-8292, 11748, 7560, 5
14336, -5100, 6728, 3
14316, -5180, 6796, 3
-8244, 11704, 7576, 5
-8764, -11740, -7840, 7
-14104, 4860, -7012, 11
-8232, 11756, 7580, 5
712, -484, 16600, 1
-8856, -11584, -7968, 7
728, -432, 16616, 1
-13896, -4936, 7060, 6
-376, 14836, -7076, 10
8620, -11784, -8268, 8
14328, -5216, 6740, 3
-152, 360, -16856, 12
112, -15156, 6836, 2
